submission_id,purchase
V0Gaxg,"National chain (e.g. Starbucks, Dunkin)"
V0Gaxg,Local cafe
V0Gaxg,Drive-thru
V0Gaxg,Specialty coffee shop
V0Gaxg,Other
7WWB4A,Local cafe
7WWB4A,Specialty coffee shop
QA5JYA,"National chain (e.g. Starbucks, Dunkin)"
QA5JYA,Local cafe
QA5JYA,Specialty coffee shop
DVvoqX,Local cafe
1r2YJQ,"National chain (e.g. Starbucks, Dunkin)"
1r2YJQ,Specialty coffee shop
1r2YJQ,Local cafe
6dQ08e,Specialty coffee shop
ylqbBg,Local cafe
ylqbBg,Specialty coffee shop
BGboZR,Local cafe
BGboZR,Specialty coffee shop
BGbJzQ,"National chain (e.g. Starbucks, Dunkin)"
GrBVrk,Deli or supermarket
jB98xY,Local cafe
LdMxB2,Local cafe
6dQY8o,Specialty coffee shop
OABqQp,Local cafe
OABqQp,"National chain (e.g. Starbucks, Dunkin)"
pLPYLE,Drive-thru
pLPYLE,"National chain (e.g. Starbucks, Dunkin)"
bl41kE,Specialty coffee shop
bl41kE,Drive-thru
bl41kE,Local cafe
bl41kE,"National chain (e.g. Starbucks, Dunkin)"
xdN8Q9,Local cafe
xdNbJ9,"National chain (e.g. Starbucks, Dunkin)"
EPbVLl,Local cafe
pLPNQJ,Local cafe
ylq8yW,Local cafe
ylq8yW,"National chain (e.g. Starbucks, Dunkin)"
rlrQQo,Specialty coffee shop
rlrQQo,Local cafe
KMBroK,"National chain (e.g. Starbucks, Dunkin)"
9dJYM1,Specialty coffee shop
9dJYM1,Local cafe
kYR4rj,Local cafe
LdMjqJ,Specialty coffee shop
eBxGvE,"National chain (e.g. Starbucks, Dunkin)"
eBxGvE,Local cafe
eBxGvE,Specialty coffee shop
g5NPYO,Local cafe
g5NPYO,Specialty coffee shop
g5NPYO,"National chain (e.g. Starbucks, Dunkin)"
zKQ8ZZ,"National chain (e.g. Starbucks, Dunkin)"
zKQ8ZZ,Specialty coffee shop
zKQ8ZZ,Local cafe
WAp6PN,"National chain (e.g. Starbucks, Dunkin)"
WAp6PN,Local cafe
WAp6PN,Drive-thru
DVvo9l,Specialty coffee shop
DVvo9l,"National chain (e.g. Starbucks, Dunkin)"
DVvo9l,Local cafe
EPbo0L,"National chain (e.g. Starbucks, Dunkin)"
EPbo0L,Local cafe
dY2GGD,"National chain (e.g. Starbucks, Dunkin)"
0EjzA9,Specialty coffee shop
0EjzA9,"National chain (e.g. Starbucks, Dunkin)"
vNx6YX,"National chain (e.g. Starbucks, Dunkin)"
vNx6YX,Local cafe
LdM4d2,Drive-thru
LdM4d2,"National chain (e.g. Starbucks, Dunkin)"
LdM4d2,Specialty coffee shop
5dq0yE,Other
rlrQrv,Specialty coffee shop
LdMxpz,"National chain (e.g. Starbucks, Dunkin)"
LdMxpz,Specialty coffee shop
XeB72d,Specialty coffee shop
XeB72d,"National chain (e.g. Starbucks, Dunkin)"
zKQA18,"National chain (e.g. Starbucks, Dunkin)"
zKQA18,Drive-thru
ZdRAAV,"National chain (e.g. Starbucks, Dunkin)"
dY2o6d,"National chain (e.g. Starbucks, Dunkin)"
dY2o6d,Local cafe
oAVN61,Specialty coffee shop
oAVN61,Local cafe
oAVN61,"National chain (e.g. Starbucks, Dunkin)"
kYR4Nr,Local cafe
kYR4Nr,Specialty coffee shop
kYR4Nr,Other
PABQdQ,"National chain (e.g. Starbucks, Dunkin)"
vNxaEA,"National chain (e.g. Starbucks, Dunkin)"
DVvo05,Drive-thru
qA2y0O,Local cafe
qA2y0O,Specialty coffee shop
rlr82o,Specialty coffee shop
jB98WY,Specialty coffee shop
rlr8LX,Specialty coffee shop
rlr8LX,"National chain (e.g. Starbucks, Dunkin)"
0EjqlN,"National chain (e.g. Starbucks, Dunkin)"
rlr8vR,Specialty coffee shop
rlr8k2,Drive-thru
42NlPr,Local cafe
42NlPr,Specialty coffee shop
XeB6OP,Local cafe
OABxYM,"National chain (e.g. Starbucks, Dunkin)"
OABxYM,Local cafe
OABxYM,Specialty coffee shop
VZ1Wxg,Specialty coffee shop
VZ1Wxg,Local cafe
24x9Oe,Specialty coffee shop
24x9Oe,Local cafe
EPbovB,Specialty coffee shop
EPbovB,"National chain (e.g. Starbucks, Dunkin)"
AlbM50,Specialty coffee shop
QABNap,Other
PABZGB,"National chain (e.g. Starbucks, Dunkin)"
PABZGB,Drive-thru
PABZGB,Local cafe
PABZGB,Specialty coffee shop
RzBqjj,Local cafe
RzBqjj,"National chain (e.g. Starbucks, Dunkin)"
AlbMQD,Local cafe
AlbMQD,"National chain (e.g. Starbucks, Dunkin)"
QABNE7,Specialty coffee shop
6dQ6QN,Specialty coffee shop
oAV8kO,"National chain (e.g. Starbucks, Dunkin)"
aBrpkB,Local cafe
NAB2Ol,Specialty coffee shop
5dqagd,Other
BGbJ9Q,Local cafe
BGbJ9Q,Deli or supermarket
BGbJ9Q,Specialty coffee shop
lNl84k,Local cafe
NAB2El,"National chain (e.g. Starbucks, Dunkin)"
NAB2El,Specialty coffee shop
NAB2El,Local cafe
dY2Jgo,Other
dY2Jgo,Deli or supermarket
EPboJ2,Local cafe
MAdjVA,Specialty coffee shop
qbE8k9,Specialty coffee shop
jB98Yx,"National chain (e.g. Starbucks, Dunkin)"
6dQ6Vk,Local cafe
7d97MR,"National chain (e.g. Starbucks, Dunkin)"
7d97MR,Drive-thru
lNl87X,Specialty coffee shop
lNl87X,"National chain (e.g. Starbucks, Dunkin)"
8dpbWO,Specialty coffee shop
8dpbWO,Local cafe
6dQ6WY,Local cafe
6dQ6WY,Specialty coffee shop
6dQ6WY,"National chain (e.g. Starbucks, Dunkin)"
1r2QRl,Specialty coffee shop
1r2QRl,"National chain (e.g. Starbucks, Dunkin)"
7d97jZ,Local cafe
7d97jZ,Specialty coffee shop
dY2JzK,Specialty coffee shop
vNx8zD,"National chain (e.g. Starbucks, Dunkin)"
vNx8zD,Specialty coffee shop
oAV8zP,Deli or supermarket
oAV8zP,Specialty coffee shop
oAV8LX,Local cafe
OABxKK,Specialty coffee shop
OABxKK,Local cafe
GrBOE2,Local cafe
rlr8Z5,Local cafe
rlr8Z5,Specialty coffee shop
rlr8Z5,"National chain (e.g. Starbucks, Dunkin)"
jB98V6,Specialty coffee shop
jB98V6,"National chain (e.g. Starbucks, Dunkin)"
rlr8ep,Local cafe
rlr8ep,Specialty coffee shop
WApa4L,"National chain (e.g. Starbucks, Dunkin)"
9dJAbX,Specialty coffee shop
zKQ8A1,Specialty coffee shop
zKQ8A1,"National chain (e.g. Starbucks, Dunkin)"
zKQ8A1,Local cafe
KMBKYX,Specialty coffee shop
KMBKYX,Local cafe
NAB21W,Deli or supermarket
NAB21W,Local cafe
qbE1GG,Specialty coffee shop
OABxRk,Drive-thru
OABxRk,"National chain (e.g. Starbucks, Dunkin)"
OABxRk,Local cafe
OABxWM,"National chain (e.g. Starbucks, Dunkin)"
OABxWM,Local cafe
AlbMYB,Specialty coffee shop
AlbMYB,Drive-thru
AlbMYB,Local cafe
oAVLGe,Specialty coffee shop
rlrMON,"National chain (e.g. Starbucks, Dunkin)"
rlrMON,Local cafe
VZ1Ojy,"National chain (e.g. Starbucks, Dunkin)"
VZ1Ojy,Local cafe
LdMLPv,Drive-thru
LdMLPv,Local cafe
LdMLPv,"National chain (e.g. Starbucks, Dunkin)"
LdMLPv,Specialty coffee shop
g5N6qO,Drive-thru
g5N6qO,"National chain (e.g. Starbucks, Dunkin)"
DVv6kZ,Specialty coffee shop
xdN8Ok,Local cafe
xdN8Ok,"National chain (e.g. Starbucks, Dunkin)"
J2kEyz,Specialty coffee shop
DVv67R,Specialty coffee shop
42NlWr,"National chain (e.g. Starbucks, Dunkin)"
42NlWr,Specialty coffee shop
42NlWr,Local cafe
6dQE7B,Specialty coffee shop
0EjRey,Specialty coffee shop
rlrM5R,Specialty coffee shop
rlrM5R,"National chain (e.g. Starbucks, Dunkin)"
XeBP0j,"National chain (e.g. Starbucks, Dunkin)"
XeBP0j,Specialty coffee shop
XeBP0j,Local cafe
9dJjQp,Specialty coffee shop
9dJjQp,"National chain (e.g. Starbucks, Dunkin)"
9dJjQp,Local cafe
0EjRdB,Local cafe
VZ1O5J,Specialty coffee shop
lNlkyB,Local cafe
lNlkyB,"National chain (e.g. Starbucks, Dunkin)"
xdN5ay,Local cafe
xdN5ay,Drive-thru
xdN5ay,Specialty coffee shop
xdN5ay,Other
xdN5ay,"National chain (e.g. Starbucks, Dunkin)"
MAdpzp,Specialty coffee shop
MAdpzp,"National chain (e.g. Starbucks, Dunkin)"
jB9AZJ,Local cafe
jB9AZJ,"National chain (e.g. Starbucks, Dunkin)"
zKQ5Da,"National chain (e.g. Starbucks, Dunkin)"
zKQ5Da,Local cafe
VZ1OEj,Local cafe
VZ1OEj,Specialty coffee shop
VZ1OEj,"National chain (e.g. Starbucks, Dunkin)"
VZ1OEj,Drive-thru
0EjRbQ,"National chain (e.g. Starbucks, Dunkin)"
YZzldq,Specialty coffee shop
YZzldq,"National chain (e.g. Starbucks, Dunkin)"
PABJB0,Local cafe
AlbeDW,Local cafe
AlbeDW,Specialty coffee shop
GrBA1o,Specialty coffee shop
LdMLG1,Specialty coffee shop
LdMLG1,Local cafe
LdML0G,Local cafe
dY2eYA,Local cafe
dY2eYA,Drive-thru
9dJjJ4,Specialty coffee shop
vNx5Od,Local cafe
vNx5Od,Specialty coffee shop
0EjRoQ,Local cafe
0EjRoQ,"National chain (e.g. Starbucks, Dunkin)"
0EjRoQ,Specialty coffee shop
g5N6QK,Specialty coffee shop
aBrqry,Specialty coffee shop
rlrMr5,Specialty coffee shop
rlrMr5,Local cafe
rlrMr5,"National chain (e.g. Starbucks, Dunkin)"
xdN5Rk,Local cafe
xdN5Rk,Specialty coffee shop
24xGvA,Specialty coffee shop
24xGvA,Local cafe
AlbeWo,Local cafe
AlbeWo,Specialty coffee shop
1r2oN4,Specialty coffee shop
QABl8l,Specialty coffee shop
QABl8l,Local cafe
24xG1g,Local cafe
EPb7BL,Local cafe
EPb7BL,Drive-thru
EPb7BL,Specialty coffee shop
24xGOb,Specialty coffee shop
24xGOb,Other
24xGOb,Local cafe
bl4Q4E,Specialty coffee shop
bl4Q4E,Local cafe
OABMdk,Specialty coffee shop
OABMdk,"National chain (e.g. Starbucks, Dunkin)"
0EjRv0,"National chain (e.g. Starbucks, Dunkin)"
LdMLXG,Specialty coffee shop
GrBAqO,Local cafe
GrBAqO,Specialty coffee shop
jB9ALR,Local cafe
jB9ALR,Specialty coffee shop
QABlxk,"National chain (e.g. Starbucks, Dunkin)"
QABlxk,Drive-thru
QABlxk,Local cafe
WApVPJ,Local cafe
WApVPJ,"National chain (e.g. Starbucks, Dunkin)"
WApVPJ,Specialty coffee shop
OABMjA,Specialty coffee shop
jB9AG9,Specialty coffee shop
kYRBpo,"National chain (e.g. Starbucks, Dunkin)"
WApVZe,Specialty coffee shop
RzBylj,"National chain (e.g. Starbucks, Dunkin)"
RzBylj,Local cafe
xdN5vk,Other
EPb7AB,"National chain (e.g. Starbucks, Dunkin)"
BGbWVK,"National chain (e.g. Starbucks, Dunkin)"
BGbWVK,Local cafe
XeBPyL,Specialty coffee shop
1r2ox1,Local cafe
1r2ox1,"National chain (e.g. Starbucks, Dunkin)"
ylq5Rx,Specialty coffee shop
24xG7M,Specialty coffee shop
24xG7M,Local cafe
6dQE9Y,Local cafe
eBxWvQ,Local cafe
24xGy9,Specialty coffee shop
DVv6ZE,Specialty coffee shop
DVv6ZE,"National chain (e.g. Starbucks, Dunkin)"
DVv6ZE,Local cafe
EPb7rr,Local cafe
EPb7rr,"National chain (e.g. Starbucks, Dunkin)"
XeBPkY,Specialty coffee shop
XeBPkY,Local cafe
vNx5Wg,Specialty coffee shop
OABMeg,Specialty coffee shop
LdMLBv,"National chain (e.g. Starbucks, Dunkin)"
DVv6Wl,Specialty coffee shop
DVv6Wl,"National chain (e.g. Starbucks, Dunkin)"
dY2ezr,"National chain (e.g. Starbucks, Dunkin)"
9dJj4E,Local cafe
9dJj4E,Drive-thru
9dJj4E,Specialty coffee shop
24xGYj,Specialty coffee shop
WApV6N,"National chain (e.g. Starbucks, Dunkin)"
WApV6N,Local cafe
WApV6N,Specialty coffee shop
0EjRyj,Specialty coffee shop
0EjRyj,Local cafe
0EjRyj,"National chain (e.g. Starbucks, Dunkin)"
jB9AzQ,Local cafe
jB9AzQ,Specialty coffee shop
MAdp2M,Local cafe
MAdp2M,Specialty coffee shop
MAdp2M,"National chain (e.g. Starbucks, Dunkin)"
g5N6XO,"National chain (e.g. Starbucks, Dunkin)"
g5N6XO,Specialty coffee shop
GrBA4k,"National chain (e.g. Starbucks, Dunkin)"
GrBA4k,Local cafe
WApV7a,"National chain (e.g. Starbucks, Dunkin)"
WApV7a,Specialty coffee shop
rlrMMl,Local cafe
rlrMMl,Specialty coffee shop
5dqPa6,"National chain (e.g. Starbucks, Dunkin)"
5dqPa6,Specialty coffee shop
XeBPAj,"National chain (e.g. Starbucks, Dunkin)"
LdMLxj,Specialty coffee shop
LdMLxj,Deli or supermarket
LdMLxj,Local cafe
RzByQ9,Local cafe
RzByQ9,Specialty coffee shop
PABJqb,"National chain (e.g. Starbucks, Dunkin)"
5dqP06,Deli or supermarket
LdMLr1,Specialty coffee shop
LdMLr1,Local cafe
vNx5RA,Deli or supermarket
vNx59Q,"National chain (e.g. Starbucks, Dunkin)"
vNx59Q,Specialty coffee shop
EPb72o,"National chain (e.g. Starbucks, Dunkin)"
EPb72o,Specialty coffee shop
EPb72o,Local cafe
PABJxb,Local cafe
6dQE6P,Deli or supermarket
6dQE6P,Specialty coffee shop
rlrM8l,Local cafe
7d9rkA,Local cafe
7d9rkA,"National chain (e.g. Starbucks, Dunkin)"
YZzl6d,Local cafe
YZzl6d,Specialty coffee shop
xdN5AG,Specialty coffee shop
xdN5AG,"National chain (e.g. Starbucks, Dunkin)"
YZzl2q,"National chain (e.g. Starbucks, Dunkin)"
YZzl2q,Local cafe
YZzl2q,Specialty coffee shop
zKQ5Ba,Local cafe
VZ1OgE,Local cafe
VZ1OgE,Specialty coffee shop
9dJjjY,Local cafe
bl4QRg,Specialty coffee shop
bl4QRg,Local cafe
AlbeXk,"National chain (e.g. Starbucks, Dunkin)"
QABllp,Local cafe
QABllp,Specialty coffee shop
kYRBL6,Local cafe
kYRBL6,Specialty coffee shop
vNx58v,Specialty coffee shop
vNx58v,Local cafe
OABMRK,Specialty coffee shop
VZ1O6v,Specialty coffee shop
VZ1O6v,"National chain (e.g. Starbucks, Dunkin)"
jB9AjR,Local cafe
AlbeM0,Local cafe
AlbeM0,"National chain (e.g. Starbucks, Dunkin)"
AlbeM0,Specialty coffee shop
OABM28,Local cafe
OABMq7,Specialty coffee shop
OABMq7,Local cafe
24xG6V,Deli or supermarket
MAdpZp,Drive-thru
MAdpZp,"National chain (e.g. Starbucks, Dunkin)"
MAdpZp,Local cafe
7d9r0P,Local cafe
7d9r0P,Specialty coffee shop
7d9r0P,"National chain (e.g. Starbucks, Dunkin)"
BGbWRN,Specialty coffee shop
xdN5Wo,Specialty coffee shop
xdN5Wo,Drive-thru
xdN5Wo,Local cafe
xdN5Wo,"National chain (e.g. Starbucks, Dunkin)"
9dJjeG,Other
42NVZb,Specialty coffee shop
42NVZb,"National chain (e.g. Starbucks, Dunkin)"
42NVZb,Local cafe
42NVZb,Deli or supermarket
42NVZb,Drive-thru
kYRBBM,"National chain (e.g. Starbucks, Dunkin)"
RzBy7P,"National chain (e.g. Starbucks, Dunkin)"
RzBy7P,Local cafe
ylqaNd,Local cafe
ylqaNd,Specialty coffee shop
MAdpog,Local cafe
oAVj6M,Specialty coffee shop
zKQ6jg,Local cafe
VZ16pN,Specialty coffee shop
ZdRBOV,Local cafe
lNlEBX,Local cafe
42NbKA,Specialty coffee shop
eBxW1o,Local cafe
eBxW1o,Specialty coffee shop
eBxW1o,Other
oAVLrM,Specialty coffee shop
42NbKr,"National chain (e.g. Starbucks, Dunkin)"
oAVj2b,Specialty coffee shop
GrBA2z,Local cafe
GrBA2z,Specialty coffee shop
MAdxRk,"National chain (e.g. Starbucks, Dunkin)"
YZzlN6,"National chain (e.g. Starbucks, Dunkin)"
YZzlN6,Specialty coffee shop
YZzlN6,Local cafe
YZzlN6,Deli or supermarket
KMBjeD,"National chain (e.g. Starbucks, Dunkin)"
KMBjeD,Specialty coffee shop
KMBjeD,Drive-thru
KMBjeD,Local cafe
vNx9eg,"National chain (e.g. Starbucks, Dunkin)"
jB9Vb1,"National chain (e.g. Starbucks, Dunkin)"
6dQB8o,"National chain (e.g. Starbucks, Dunkin)"
6dQB8o,Specialty coffee shop
6dQB7J,"National chain (e.g. Starbucks, Dunkin)"
6dQB7J,Local cafe
6dQB7J,Deli or supermarket
xdNWMd,Specialty coffee shop
xdNWMd,Local cafe
24x6jM,Specialty coffee shop
aBrMYb,Local cafe
XeBboP,Specialty coffee shop
bl4Je6,Other
dY2yar,Specialty coffee shop
dY2yar,"National chain (e.g. Starbucks, Dunkin)"
dY2yar,Drive-thru
PABqj0,Local cafe
PABqj0,Specialty coffee shop
g5NoqP,Local cafe
g5NoqP,Specialty coffee shop
jB9VQJ,Specialty coffee shop
KMBjVX,Drive-thru
KMBjVX,Specialty coffee shop
KMBjVX,"National chain (e.g. Starbucks, Dunkin)"
KMBjVX,Local cafe
KMBjVX,Deli or supermarket
oAVj65,Specialty coffee shop
oAVj65,"National chain (e.g. Starbucks, Dunkin)"
xdNWDd,Specialty coffee shop
EPbOxB,"National chain (e.g. Starbucks, Dunkin)"
xdNWx9,"National chain (e.g. Starbucks, Dunkin)"
xdNWx9,Drive-thru
EPbOqA,"National chain (e.g. Starbucks, Dunkin)"
EPbOqA,Specialty coffee shop
42NbXo,"National chain (e.g. Starbucks, Dunkin)"
qbElDO,"National chain (e.g. Starbucks, Dunkin)"
xdNWa5,Local cafe
8dplNk,Drive-thru
8dplNk,Specialty coffee shop
8dplNk,"National chain (e.g. Starbucks, Dunkin)"
1r2a91,"National chain (e.g. Starbucks, Dunkin)"
1r2a91,Other
42NbB5,Specialty coffee shop
42NbB5,"National chain (e.g. Starbucks, Dunkin)"
GrBP6O,Specialty coffee shop
GrBP6O,Local cafe
NABZoO,"National chain (e.g. Starbucks, Dunkin)"
NABZoO,Specialty coffee shop
42NbxA,"National chain (e.g. Starbucks, Dunkin)"
42NbxA,Drive-thru
OABN7a,"National chain (e.g. Starbucks, Dunkin)"
DVvGBE,"National chain (e.g. Starbucks, Dunkin)"
DVvGBE,Local cafe
LdMLRO,Local cafe
LdMLRO,Specialty coffee shop
dY2yNV,Other
dY2yNV,Local cafe
dY2yNV,Specialty coffee shop
dY2yYK,Local cafe
GrBPJo,"National chain (e.g. Starbucks, Dunkin)"
GrBPJo,Specialty coffee shop
eBxXL0,Local cafe
eBxXL0,Deli or supermarket
PABqX5,Specialty coffee shop
MAdxOM,Local cafe
MAdxOM,Specialty coffee shop
ZdRBP0,Specialty coffee shop
ZdRBP0,Drive-thru
ZdRBP0,"National chain (e.g. Starbucks, Dunkin)"
ZdRBP0,Local cafe
ZdRBRy,Specialty coffee shop
ZdRBRy,Local cafe
ZdRBZa,Specialty coffee shop
OABNzg,"National chain (e.g. Starbucks, Dunkin)"
OABNzg,Local cafe
OABNzg,Drive-thru
42NbpB,Other
PABq2b,Specialty coffee shop
WAp7Pj,Drive-thru
WAp7Pj,Local cafe
rlrZqL,Local cafe
24x6JL,"National chain (e.g. Starbucks, Dunkin)"
XeBbB4,Specialty coffee shop
XeBbB4,"National chain (e.g. Starbucks, Dunkin)"
XeBbB4,Drive-thru
9dJKWV,"National chain (e.g. Starbucks, Dunkin)"
lNlEyv,Deli or supermarket
g5Nok1,Drive-thru
g5Nok1,Specialty coffee shop
g5Nok1,"National chain (e.g. Starbucks, Dunkin)"
g5Nok1,Local cafe
DVvGYX,Drive-thru
DVvGYX,"National chain (e.g. Starbucks, Dunkin)"
DVvGYX,Local cafe
DVvGYX,Specialty coffee shop
xdNWLd,"National chain (e.g. Starbucks, Dunkin)"
xdNWLd,Local cafe
NABZyp,"National chain (e.g. Starbucks, Dunkin)"
VZ16y6,Drive-thru
VZ16y6,Specialty coffee shop
pLP24V,Drive-thru
g5NogM,Specialty coffee shop
g5NogM,Local cafe
VZ16MJ,Specialty coffee shop
NABZv0,"National chain (e.g. Starbucks, Dunkin)"
NABZv0,Specialty coffee shop
AlbX8D,"National chain (e.g. Starbucks, Dunkin)"
qbElBG,Drive-thru
qbElBG,"National chain (e.g. Starbucks, Dunkin)"
jB9VrQ,Drive-thru
24x6Rb,Deli or supermarket
24x6Rb,"National chain (e.g. Starbucks, Dunkin)"
ylqar8,"National chain (e.g. Starbucks, Dunkin)"
ylqar8,Specialty coffee shop
RzB92v,"National chain (e.g. Starbucks, Dunkin)"
RzB92v,Local cafe
xdNWv9,Specialty coffee shop
xdNWv9,Local cafe
xdNWv9,"National chain (e.g. Starbucks, Dunkin)"
5dqApP,"National chain (e.g. Starbucks, Dunkin)"
5dqApP,Local cafe
5dqAko,Specialty coffee shop
5dqAko,Local cafe
5dqAko,Deli or supermarket
dY2yKz,Local cafe
dY2yKz,Specialty coffee shop
dY2yKz,"National chain (e.g. Starbucks, Dunkin)"
MAdxdX,"National chain (e.g. Starbucks, Dunkin)"
MAdxdX,Specialty coffee shop
OABNdK,Deli or supermarket
OABNdK,"National chain (e.g. Starbucks, Dunkin)"
OABNdK,Local cafe
OABNdK,Specialty coffee shop
YZzAAJ,"National chain (e.g. Starbucks, Dunkin)"
YZzAAJ,Local cafe
xdNW7d,"National chain (e.g. Starbucks, Dunkin)"
xdNW7d,Specialty coffee shop
xdNW7d,Local cafe
VZ16Wy,"National chain (e.g. Starbucks, Dunkin)"
VZ16Wy,Local cafe
VZ16Wy,Specialty coffee shop
VZ16Wy,Drive-thru
24x6QL,Drive-thru
24x6QL,"National chain (e.g. Starbucks, Dunkin)"
24x6QL,Local cafe
QABQ6p,Specialty coffee shop
XeBbbY,Specialty coffee shop
XeBbbY,Local cafe
XeBbbY,"National chain (e.g. Starbucks, Dunkin)"
XeBbbY,Drive-thru
KMBjKV,Local cafe
KMBjKV,Specialty coffee shop
qbElrG,"National chain (e.g. Starbucks, Dunkin)"
qbElrG,Drive-thru
1r2ajQ,Specialty coffee shop
5dq7bP,Local cafe
5dq7bP,"National chain (e.g. Starbucks, Dunkin)"
DVv8kp,Specialty coffee shop
BGbRPN,"National chain (e.g. Starbucks, Dunkin)"
BGbRPN,Local cafe
BGbRPN,Specialty coffee shop
BGbRPN,Deli or supermarket
EPbRzo,Specialty coffee shop
EPbRzo,Local cafe
EPbRzo,"National chain (e.g. Starbucks, Dunkin)"
eBxXOl,"National chain (e.g. Starbucks, Dunkin)"
eBxXOl,Local cafe
YZzA85,Specialty coffee shop
rlrZzv,Specialty coffee shop
ylqQJ6,"National chain (e.g. Starbucks, Dunkin)"
ylqQJ6,Specialty coffee shop
ylqQJ6,Local cafe
0Ej9d0,"National chain (e.g. Starbucks, Dunkin)"
9dJkdE,Specialty coffee shop
8dpBdl,Local cafe
PABqMQ,Specialty coffee shop
PABqMQ,Drive-thru
PABqMQ,Deli or supermarket
g5Nl5P,Specialty coffee shop
g5Nl5P,Local cafe
OAB2b7,Specialty coffee shop
ZdR7Dy,Local cafe
ZdR7Dy,Specialty coffee shop
ZdR7Dy,Deli or supermarket
LdMr0l,"National chain (e.g. Starbucks, Dunkin)"
LdMr0l,Local cafe
LdMr0l,Specialty coffee shop
LdMr0l,Deli or supermarket
42N6jr,"National chain (e.g. Starbucks, Dunkin)"
42N6jr,Deli or supermarket
LdMrWJ,Local cafe
LdMrWJ,"National chain (e.g. Starbucks, Dunkin)"
LdMrWJ,Specialty coffee shop
KMBEyk,Local cafe
KMBEyk,"National chain (e.g. Starbucks, Dunkin)"
VZ162J,Deli or supermarket
VZ162J,Local cafe
GrBGy2,Local cafe
5dq7GE,Specialty coffee shop
5dq7GE,Local cafe
AlbgaB,Specialty coffee shop
AlbgaB,Other
AlbgaB,Local cafe
WApW6L,Local cafe
YZz62W,"National chain (e.g. Starbucks, Dunkin)"
YZz62W,Local cafe
WApWWe,Drive-thru
aBrROv,"National chain (e.g. Starbucks, Dunkin)"
jB9RO4,Local cafe
jB9RO4,Specialty coffee shop
EPbRj4,"National chain (e.g. Starbucks, Dunkin)"
EPbRj4,Drive-thru
BGbyPK,Specialty coffee shop
AlbEzk,Local cafe
AlbEzk,Specialty coffee shop
rlrejl,Specialty coffee shop
